description,has_short_company_profile,company_profile,requirements,benefits,has_company_logo,low_required_education,has_questions,telecommuting,has_short_requirements,money_in_title,money_in_desc,cons_punc_des,fraudulent
97,0,86,68,53,1,1,0,0,0,1,0,0,1
41,0,141,246,117,1,0,1,0,0,0,0,0,0
168,0,62,54,107,1,0,0,0,0,0,0,0,0
106,1,1,111,111,0,0,0,0,0,0,0,0,1
113,0,32,75,32,1,1,0,0,0,0,0,0,1
7,1,1,7,7,0,0,0,0,1,0,0,0,1
108,1,1,53,15,0,0,0,0,0,0,0,0,1
244,1,1,82,17,0,0,1,0,0,0,1,0,1
236,0,82,110,1,1,0,1,0,0,0,0,0,0
252,1,1,45,20,0,1,0,0,0,0,0,0,1
390,1,1,1,1,0,0,0,0,1,0,0,0,1
209,0,157,176,1,1,0,0,0,0,0,0,0,0
124,0,18,40,9,1,0,1,0,0,0,1,0,0
48,1,1,70,1,0,0,0,0,0,0,0,0,1
194,0,381,103,439,1,0,1,0,0,0,0,0,1
348,0,152,121,1,1,0,0,0,0,0,0,0,0
417,1,1,40,48,0,0,0,0,0,0,0,1,1
24,0,82,24,1,1,0,0,0,0,0,1,0,1
296,0,88,184,1,1,1,0,0,0,0,0,0,0
124,0,18,40,9,1,0,1,0,0,0,1,0,0
84,1,1,8,9,0,0,0,0,1,0,1,0,1
530,0,213,88,120,1,0,0,0,0,0,0,0,0
722,0,170,517,1,1,0,1,0,0,0,0,0,1
174,1,1,187,1,0,0,0,0,0,0,0,0,1
147,0,99,145,211,1,0,1,0,0,0,0,0,0
108,0,86,95,78,1,1,0,0,0,1,0,0,1
308,1,1,474,1,0,0,1,0,0,0,0,1,1
262,0,30,219,1,0,0,0,0,0,0,0,0,0
182,0,381,125,1,1,0,1,0,0,0,0,0,1
105,0,79,107,69,1,0,1,1,0,0,0,0,0
529,0,56,210,1,1,0,0,0,0,0,1,0,0
417,1,1,40,48,0,0,1,0,0,0,0,1,1
467,1,1,1,50,0,1,0,0,1,0,0,0,0
275,0,45,183,173,1,0,1,0,0,0,0,0,0
314,0,156,209,356,1,0,1,0,0,0,0,0,1
766,0,441,123,123,1,0,1,0,0,0,1,0,0
116,0,92,133,272,1,0,1,0,0,0,0,0,0
306,1,1,169,86,0,0,0,0,0,0,0,0,1
189,0,46,249,1,1,0,1,0,0,0,0,0,0
188,0,69,205,1,1,0,0,0,0,0,0,0,1
80,1,1,40,1,0,0,0,0,0,0,0,0,1
110,0,18,26,9,1,0,1,0,0,0,1,0,0
219,1,1,1,1,0,0,0,0,1,0,0,0,1
284,0,81,115,181,1,0,1,0,0,0,0,0,0
258,1,1,110,26,0,0,0,0,0,0,0,0,0
282,0,192,111,38,1,0,0,0,0,0,0,0,0
297,0,243,1,1,1,0,0,0,1,0,0,0,0
22,0,100,35,22,1,1,0,1,0,0,0,0,1
63,1,1,11,1,0,0,0,0,0,0,1,0,1
141,0,93,188,1,1,0,0,0,0,0,0,0,0
192,0,90,129,203,1,0,1,0,0,0,0,0,0
72,1,1,1,1,0,0,0,0,1,0,1,0,1
20,1,1,13,19,0,0,0,0,0,0,0,0,0
44,1,1,78,52,0,0,1,0,0,0,0,0,1
436,0,177,111,73,1,0,1,0,0,0,0,1,0
502,1,1,246,30,0,0,1,1,0,0,0,0,0
252,0,86,218,73,1,0,1,0,0,0,0,0,0
250,1,1,219,85,0,0,0,0,0,0,0,0,0
140,1,1,210,77,1,0,0,0,0,0,0,0,0
225,1,1,7,34,0,0,0,0,1,0,0,0,1
124,1,1,104,8,0,0,0,0,0,0,0,0,1
23,0,25,21,24,0,0,0,0,0,0,1,0,1
290,0,149,1,1,1,0,0,0,1,0,0,0,0
178,0,185,36,7,1,1,1,0,0,0,0,0,1
167,1,1,49,1,0,0,1,0,0,0,0,0,1
97,0,86,74,71,1,1,0,0,0,1,0,0,1
539,0,213,107,111,1,0,1,0,0,0,0,0,0
71,0,210,326,1,1,0,1,0,0,0,0,0,0
37,0,147,232,43,1,0,1,0,0,0,0,0,0
172,0,88,181,1,1,1,0,0,0,0,0,0,0
51,1,1,1,1,0,0,0,0,1,0,0,0,1
63,1,1,290,14,0,0,1,1,0,0,0,0,1
257,1,1,306,24,1,0,0,0,0,0,0,0,0
358,0,142,233,1,1,0,0,0,0,0,0,0,0
413,0,441,130,115,1,0,0,0,0,0,1,0,0
67,1,1,94,47,0,1,0,0,0,0,0,0,1
177,0,30,1,1,0,0,0,0,1,0,0,0,0
49,1,1,1,1,0,1,0,0,1,0,0,0,1
99,1,1,156,28,0,0,0,0,0,0,0,0,1
86,1,1,8,9,0,0,0,0,1,0,1,0,1
124,1,1,104,8,0,0,0,0,0,0,0,0,1
53,1,1,45,1,0,1,0,0,0,0,0,0,1
238,0,62,242,108,1,0,1,0,0,0,0,0,0
124,0,137,86,31,0,1,0,0,0,0,0,0,1
34,1,1,116,62,1,0,1,0,0,0,0,0,0
178,1,1,85,55,1,0,0,0,0,0,0,0,0
73,1,1,19,97,0,0,0,0,0,0,1,0,1
100,0,101,82,1,1,0,1,0,0,0,0,0,0
124,1,1,104,8,0,0,0,0,0,0,0,0,1
73,1,1,19,97,0,0,0,0,0,0,1,0,1
123,0,136,21,1,1,1,1,0,0,0,0,0,0
58,0,210,201,1,1,0,1,0,0,0,0,0,0
249,0,139,260,1,1,0,1,0,0,0,0,0,0
405,0,72,56,1,1,0,1,0,0,0,0,0,0
65,1,1,19,25,0,0,0,0,0,0,1,0,1
106,1,1,240,44,0,0,0,0,0,1,0,0,1
196,0,361,139,1,1,0,1,0,0,0,0,0,1
28,1,1,75,1,0,0,0,0,0,0,0,0,0
97,1,1,39,116,0,0,0,0,0,1,1,0,1
142,1,1,57,34,0,1,0,0,0,0,0,0,1
71,0,68,67,1,1,0,1,0,0,0,0,0,0
476,0,180,237,259,1,0,1,0,0,0,0,0,1
124,0,137,86,31,0,1,0,0,0,0,0,0,1
129,1,1,8,1,0,0,0,1,1,0,0,0,1
97,0,86,68,68,1,1,0,0,0,1,0,0,1
96,1,1,159,28,0,0,0,0,0,0,0,0,1
132,0,77,235,45,0,0,1,0,0,0,0,0,0
268,0,230,224,9,1,0,1,0,0,0,0,0,0
244,0,112,232,1,1,0,1,0,0,0,0,0,1
110,0,18,26,9,1,0,1,0,0,0,1,0,0
159,1,1,9,16,0,1,1,0,1,0,0,0,1
107,1,1,66,47,0,1,0,0,0,0,0,0,1
105,0,53,93,57,1,0,1,1,0,0,0,0,0
97,0,95,185,17,1,0,0,0,0,0,0,0,0
72,1,1,1,1,0,0,0,0,1,0,1,0,1
217,1,9,1,1,1,0,0,0,1,0,0,0,0
369,0,619,49,1,1,0,0,0,0,0,0,0,0
427,1,1,1,1,0,0,0,0,1,0,0,0,1
231,0,381,226,1,1,0,1,0,0,0,0,0,1
17,0,125,22,32,1,0,1,0,0,0,0,0,0
127,0,196,726,408,1,0,1,0,0,0,0,0,0
194,0,381,103,439,1,0,1,0,0,0,0,0,1
289,0,81,117,237,1,0,0,0,0,0,0,0,0
265,0,361,170,94,1,0,1,0,0,0,0,0,1
165,0,40,77,1,0,1,0,0,0,0,0,0,0
295,1,1,361,1,0,0,0,0,0,0,0,0,1
73,1,1,19,97,0,0,0,0,0,0,1,0,1
180,1,1,1,1,0,0,0,0,1,0,0,0,0
194,1,1,117,1,0,0,1,0,0,0,0,0,0
303,1,1,71,109,0,0,0,0,0,0,0,1,1
397,1,1,103,1,0,0,0,0,0,0,0,0,0
138,1,1,76,28,0,0,0,0,0,1,0,0,1
96,1,1,159,28,0,0,0,0,0,0,0,0,1
169,0,93,234,122,1,1,1,0,0,0,0,0,1
142,0,62,128,1,1,0,1,0,0,0,0,0,0
97,1,1,39,116,0,0,0,0,0,1,1,0,1
106,1,1,111,111,0,0,0,0,0,0,0,0,1
270,0,129,131,14,1,1,1,0,0,0,0,0,0
295,0,88,190,1,1,1,0,0,0,0,0,0,0
125,0,103,1,1,1,0,0,0,1,0,0,0,0
159,1,1,9,16,0,1,1,0,1,0,0,0,1
708,0,353,208,80,1,0,0,0,0,0,1,0,0
65,1,1,9,1,0,0,0,0,1,0,0,0,1
308,0,46,160,86,1,0,0,0,0,0,0,0,1
374,1,1,44,29,0,0,0,0,0,0,0,1,1
185,0,30,62,106,1,0,1,1,0,0,0,0,0
261,0,381,178,1,1,0,1,0,0,0,0,0,1
191,0,372,47,61,1,0,0,0,0,0,0,0,0
91,1,1,38,1,0,0,0,1,0,0,1,0,1
43,1,1,1,1,0,0,0,0,1,0,0,0,1
96,1,1,36,26,0,0,0,0,0,0,0,0,1
147,1,1,40,29,0,0,0,0,0,0,0,0,1
326,0,44,133,1,1,1,0,0,0,0,0,0,1
143,0,93,81,14,1,1,1,0,0,0,0,0,1
235,1,1,87,63,0,0,1,0,0,0,0,0,0
251,0,110,167,1,1,0,0,0,0,0,0,0,0
124,1,1,104,8,0,0,0,0,0,0,0,0,1
53,1,1,1,1,0,0,0,0,1,0,0,0,0
542,0,213,130,129,1,0,1,0,0,0,0,0,0
233,0,72,86,40,1,0,1,0,0,0,0,0,0
161,1,1,1,1,0,0,0,0,1,0,0,0,1
248,0,26,156,107,1,0,1,0,0,0,0,0,0
148,0,26,160,122,1,0,1,0,0,0,0,0,0
256,0,80,46,387,1,0,0,0,0,0,1,0,0
539,0,68,45,30,1,0,0,0,0,0,1,0,1
35,0,82,17,1,1,0,0,1,0,0,0,0,1
190,0,93,483,128,1,0,0,0,0,0,0,0,0
103,0,18,40,9,1,0,1,0,0,0,1,0,0
329,1,1,1,1,0,0,0,0,1,0,0,0,1
300,1,1,230,65,0,0,1,0,0,0,0,0,0
272,0,156,216,356,1,0,1,0,0,0,0,0,1
91,1,1,38,1,0,0,0,1,0,0,1,0,1
238,0,104,1,1,1,0,1,0,1,0,0,0,0
73,1,1,19,97,0,0,0,0,0,0,1,0,1
140,1,1,154,1,0,0,0,0,0,0,0,0,0
124,0,137,86,31,0,1,0,0,0,0,0,0,1
248,1,1,1,1,0,0,0,0,1,0,0,0,1
319,0,46,232,1,1,0,0,0,0,0,0,0,1
102,1,1,40,33,0,0,0,0,0,0,0,0,1
477,0,134,1,1,1,0,0,0,1,0,0,0,0
215,0,76,191,55,1,0,1,0,0,0,0,0,0
332,0,208,85,131,1,0,1,1,0,0,1,0,0
19,1,1,134,82,0,0,0,0,0,0,0,0,1
124,1,1,104,8,0,0,0,0,0,0,0,0,1
65,1,1,19,20,0,0,0,0,0,0,1,0,1
208,1,1,125,27,0,0,0,0,0,0,0,0,0
237,1,1,1,1,0,0,0,0,1,0,0,0,1
193,0,141,105,1,1,0,1,0,0,0,0,0,0
146,0,68,523,16,1,0,1,0,0,0,0,0,0
75,1,1,1,1,0,0,0,0,1,0,1,0,1
381,0,63,160,28,0,0,0,0,0,0,0,0,0
365,0,658,311,190,1,0,1,0,0,0,1,0,0
56,1,1,410,1,0,0,0,0,0,0,0,0,0
194,0,156,103,439,1,0,1,0,0,0,0,0,1
132,1,1,86,26,0,0,0,0,0,0,0,0,1
263,0,30,1,1,0,0,0,0,1,0,0,0,0
235,0,30,1,1,0,0,0,0,1,0,0,0,0
67,1,1,19,25,0,0,0,0,0,0,1,1,1
387,0,46,125,34,1,0,0,0,0,0,0,0,1
30,1,1,1,1,0,0,0,0,1,0,1,0,1
91,1,1,38,1,0,0,0,1,0,0,1,0,1
352,1,1,1,1,0,0,0,0,1,0,0,0,1
234,0,30,381,1,0,0,0,0,0,0,0,0,0
49,0,84,26,16,1,1,0,1,0,0,0,0,1
221,1,1,50,1,0,0,0,0,0,0,0,0,1
124,0,137,86,31,0,1,0,0,0,0,0,0,1
55,0,44,106,1,1,0,0,0,0,0,0,0,0
288,0,156,117,356,1,0,1,0,0,0,0,0,1
100,0,18,40,9,1,0,1,0,0,0,1,0,0
538,1,1,53,1,0,0,0,0,0,0,0,0,1
114,0,18,27,9,1,0,0,0,0,0,1,0,0
686,1,1,259,1,0,0,0,0,0,0,0,0,1
202,1,1,1,1,0,0,0,0,1,0,0,0,1
774,0,361,158,115,1,0,0,0,0,0,0,0,1
262,0,361,172,256,1,0,1,0,0,0,0,0,1
94,0,184,240,29,1,0,0,0,0,0,0,0,0
356,0,53,1,1,1,0,0,0,1,0,0,0,0
348,1,1,64,1,0,0,0,0,0,0,0,0,1
415,0,94,200,11,1,1,1,0,0,0,1,0,1
48,0,279,39,1,1,0,0,0,0,0,0,0,0
75,1,1,14,14,0,0,0,0,0,0,1,0,1
115,1,1,76,88,0,0,0,0,0,0,0,0,1
676,0,162,326,1,1,0,0,0,0,0,0,0,0
120,0,85,419,1,1,0,0,0,0,0,0,0,0
118,0,113,1,1,1,0,1,0,1,0,0,0,0
254,1,1,402,1,0,0,0,0,0,0,0,0,0
61,1,1,94,1,0,0,0,0,0,0,0,0,0
479,1,1,1,1,0,0,0,0,1,0,0,0,1
360,1,1,1,7,0,0,0,0,1,0,0,0,0
329,0,246,34,232,1,0,0,0,0,0,0,0,0
674,0,253,1,1,1,0,0,0,1,0,0,0,0
124,0,104,135,133,1,0,1,0,0,0,0,0,0
71,1,1,1,1,0,0,0,0,1,0,1,0,1
475,0,361,206,272,1,1,1,0,0,0,0,0,1
120,0,72,359,63,1,0,1,1,0,0,0,0,0
52,0,123,56,21,1,0,0,0,0,0,0,0,1
259,0,107,30,35,1,1,1,0,0,0,0,0,1
267,1,1,154,1,0,0,1,0,0,0,0,0,0
79,1,1,88,37,0,0,0,0,0,0,0,0,1
